import time: self [us] | cumulative | imported package
import time:       506 |       1264 |           structlog.contextvars
import time:       192 |        192 |             structlog._frames
import time:       217 |        217 |             structlog.exceptions
import time:       177 |        177 |               structlog._log_levels
import time:       161 |        161 |               structlog._utils
import time:       280 |        280 |                   rich._extension
import time:       653 |        933 |                 rich
import time:       527 |        527 |                   rich.repr
import time:       609 |        609 |                       attr._compat
import time:       152 |        152 |                         attr._config
import time:       308 |        308 |                           attr.exceptions
import time:       248 |        555 |                         attr.setters
import time:      5008 |       5714 |                       attr._make
import time:       333 |       6656 |                     attr.converters
import time:       183 |        183 |                     attr.filters
import time:      5594 |       5594 |                     attr.validators
import time:       275 |        275 |                     attr._cmp
import time:       241 |        241 |                     attr._funcs
import time:       279 |        279 |                     attr._next_gen
import time:       872 |        872 |                     attr._version_info
import time:       778 |      14875 |                   attr
import time:       294 |        294 |                   rich._loop
import time:       160 |        160 |                   rich._pick
import time:       213 |        213 |                   rich.abc
import time:       225 |        225 |                       rich._unicode_data._versions
import time:       306 |        530 |                     rich._unicode_data
import time:       885 |       1415 |                   rich.cells
import time:       287 |        287 |                       rich._wrap
import time:       727 |        727 |                                   _compat_pickle
import time:       206 |        206 |                                   _pickle
import time:      1381 |       2314 |                                 pickle
import time:       355 |        355 |                                 rich.errors
import time:       399 |        399 |                                       rich.color_triplet
import time:       346 |        745 |                                     rich.palette
import time:      1479 |       2224 |                                   rich._palettes
import time:       493 |        493 |                                   rich.terminal_theme
import time:      1848 |       4563 |                                 rich.color
import time:      1113 |       8343 |                               rich.style
import time:      1601 |       9944 |                             rich.segment
import time:      1665 |      11609 |                           rich.jupyter
import time:       164 |        164 |                             rich.protocol
import time:       482 |        645 |                           rich.measure
import time:       273 |      12526 |                         rich.constrain
import time:       430 |      12955 |                       rich.align
import time:       638 |        638 |                       rich.containers
import time:       406 |        406 |                       rich.control
import time:      2535 |       2535 |                         rich._emoji_codes
import time:       488 |        488 |                         rich._emoji_replace
import time:       469 |       3491 |                       rich.emoji
import time:      2043 |      19819 |                     rich.text
import time:       516 |      20334 |                   rich.highlighter
import time:      2965 |      40780 |                 rich.pretty
import time:      2414 |      44126 |               structlog.tracebacks
import time:      1222 |      45684 |             structlog.processors
import time:       127 |        127 |             colorama
import time:       103 |        103 |             better_exceptions
import time:       331 |        331 |               rich._null_file
import time:       861 |        861 |                 rich.default_styles
import time:       350 |        350 |                 rich.theme
import time:       273 |       1483 |               rich.themes
import time:       152 |        152 |               rich._export_format
import time:       157 |        157 |               rich._fileno
import time:       414 |        414 |               rich._log_render
